event_id,date,title,summary,category,region,source_url,tags,notes
EVT-1989-BERLIN-WALL,1989-11-09,Fall of the Berlin Wall,"East Germany announces easing of travel restrictions; crowds breach the Wall, accelerating the end of the Cold War.",Geopolitics,Europe,https://en.wikipedia.org/wiki/Berlin_Wall#Fall,Cold War;Reunification;Europe,"Within days of the Saturn–Neptune conjunction pass in Capricorn (exact Nov 13, 1989)."
EVT-2008-LEHMAN,2008-09-15,Lehman Brothers Bankruptcy,"Lehman Brothers files for bankruptcy, marking a critical inflection of the 2007–2009 global financial crisis.",Economy/Finance,Global,https://en.wikipedia.org/wiki/Bankruptcy_of_Lehman_Brothers,GFC;Banking;Market Crash,"Lead-up to Saturn–Uranus opposition (exact Nov 4, 2008) across Virgo–Pisces."
EVT-2020-WHO-PANDEMIC,2020-03-11,WHO Declares COVID‑19 a Pandemic,The World Health Organization declares COVID‑19 a pandemic as global transmission accelerates.,Public Health,Global,https://en.wikipedia.org/wiki/COVID-19_pandemic,Pandemic;WHO;COVID-19,"Within the Saturn–Pluto Capricorn conjunction field (exact Jan 12, 2020 at ~22° Cap)."
EVT-1988-MURPHY-BROWN,1988-09-30,Murphy Brown TV Premiere,"CBS airs the first episode of 'Murphy Brown', a U.S. television series addressing gender and politics in media.",Culture/Society,United States,https://en.wikipedia.org/wiki/Murphy_Brown,"Television;Culture;Media",
EVT-1988-PALESTINIAN-DECLARATION,1988-10-15,Palestinian Declaration of Independence,"Palestine National Council issues the Palestinian Declaration of Independence in Algiers.",Culture/Society,Middle East,https://en.wikipedia.org/wiki/Palestinian_Declaration_of_Independence,"Palestine;Independence;MiddleEast",
EVT-1988-BHUTTO,1988-12-02,Benazir Bhutto Becomes Prime Minister,"Benazir Bhutto becomes Prime Minister of Pakistan, the first woman to lead a Muslim-majority nation.",Culture/Society,Pakistan,https://en.wikipedia.org/wiki/Benazir_Bhutto,"Politics;Gender;Pakistan",
EVT-1989-HIROHITO-DEATH,1989-01-07,Death of Emperor Hirohito,"Emperor Hirohito of Japan dies; Akihito ascends the throne.",Culture/Society,Japan,https://en.wikipedia.org/wiki/Emperor_Sh%C5%8Dwa,"Japan;Monarchy;Transition",
EVT-1989-RUSHDIE-FATWA,1989-02-14,Fatwa Against Salman Rushdie,"Ayatollah Khomeini issues a fatwa calling for the death of author Salman Rushdie over his novel 'The Satanic Verses'.",Culture/Society,Global,https://en.wikipedia.org/wiki/Rushdie_affair,"Religion;FreeSpeech;Culture",
EVT-1989-TIANANMEN-HUNGER,1989-05-13,Tiananmen Square Hunger Strike,"Chinese students begin a hunger strike in Tiananmen Square, escalating the democracy protests.",Culture/Society,China,https://en.wikipedia.org/wiki/1989_Tiananmen_Square_protests_and_massacre,"Protest;China;Democracy",
EVT-1989-TIANANMEN-MASSACRE,1989-06-04,Tiananmen Square Massacre,"Chinese troops and security police violently suppress pro-democracy protests in Tiananmen Square, Beijing.",Culture/Society,China,https://en.wikipedia.org/wiki/1989_Tiananmen_Square_protests_and_massacre,"Protest;China;Massacre",
EVT-1989-BATMAN-FILM,1989-06-23,Release of Batman Film,"Tim Burton’s 'Batman' premieres, becoming a global cultural blockbuster.",Culture/Society,Global,https://en.wikipedia.org/wiki/Batman_(1989_film),"Film;Culture;Global",
EVT-1989-BALTIC-WAY,1989-08-23,Baltic Way Human Chain,"Around two million people form a human chain across Estonia, Latvia, and Lithuania to demand independence.",Culture/Society,Baltic States,https://en.wikipedia.org/wiki/Baltic_Way,"Protest;Independence;Baltic",
EVT-1989-MAZOWIECKI,1989-08-24,Mazowiecki Becomes Polish PM,"Tadeusz Mazowiecki becomes Prime Minister of Poland, the first non-Communist leader in Eastern Europe since WWII.",Culture/Society,Poland,https://en.wikipedia.org/wiki/Tadeusz_Mazowiecki,"Poland;EasternEurope;Politics",
EVT-1989-HUNGARY-BORDER,1989-09-10,Hungary Opens Border to Austria,"Hungary opens its border with Austria, allowing thousands of East Germans to flee to the West.",Culture/Society,Hungary,https://en.wikipedia.org/wiki/Pan-European_Picnic,"Hungary;IronCurtain;Europe",
EVT-1988-STS-26,1988-09-29,STS-26 Space Shuttle Discovery Launch,"NASA launches STS-26, the first mission after the Challenger disaster.",Science/Tech,United States,https://en.wikipedia.org/wiki/STS-26,"NASA;Space;Science",
EVT-1988-BURAN,1988-11-15,Buran Space Shuttle Flight,"The Soviet Union launches the Buran shuttle on its first and only fully automated orbital flight.",Science/Tech,Soviet Union,https://en.wikipedia.org/wiki/Buran_(spacecraft),"USSR;Space;Shuttle",
EVT-1989-GPS,1989-02-14,First Operational GPS Satellite,"The U.S. Air Force launches the first operational Navstar II GPS satellite.",Science/Tech,United States,https://en.wikipedia.org/wiki/List_of_GPS_satellites,"GPS;Satellite;Navigation",
EVT-1989-WWW,1989-03-12,World Wide Web Proposal,"Tim Berners-Lee submits a proposal for the World Wide Web at CERN.",Science/Tech,Global,https://en.wikipedia.org/wiki/World_Wide_Web,"Internet;CERN;Technology",
EVT-1989-SUPERCONDUCTOR,1989-04-05,High-Temperature Superconductor Wire,"Brookhaven National Lab produces the first pure high-temperature superconducting wire.",Science/Tech,United States,https://en.wikipedia.org/wiki/Superconductivity,"Superconductor;Physics;Science",
EVT-1989-SOLAR-PLANE,1989-05-22,Solar Aircraft Milestone,"A prototype solar-powered aircraft demonstrates potential for fuel-free flight.",Science/Tech,Global,https://en.wikipedia.org/wiki/Solar-powered_aircraft,"Aviation;Solar;Innovation",
EVT-1989-VOYAGER2,1989-08-25,Voyager 2 Neptune Flyby,"Voyager 2 makes its closest approach to Neptune, completing the Grand Tour of outer planets.",Science/Tech,Global,https://en.wikipedia.org/wiki/Voyager_2,"Voyager;Neptune;NASA",
EVT-1989-TITANIC-WRECK,1989-09-01,Titanic Wreck Documented,"Detailed exploration and broadcast of the Titanic wreck provide first comprehensive images to the public.",Science/Tech,North Atlantic,https://en.wikipedia.org/wiki/Wreck_of_the_RMS_Titanic,"Titanic;Exploration;History",
EVT-1988-BUSH-ELECTED,1988-11-08,George H. W. Bush Elected,"George H. W. Bush elected 41st President of the United States.",Geopolitics,United States,https://en.wikipedia.org/wiki/George_H._W._Bush,"US;Election;Politics",
