wave_tag_id,event_id,wave_id,wave_name,anchor_deg,anchor_sign,anchor_object,notes
WAV-1989-W10,EVT-1989-BERLIN-WALL,10,Genesis Mirrors,11,Capricorn,Saturn–Neptune Conjunction,Conjunction at 11° Capricorn sits on a Wave 10 anchor.
WAV-2008-W9,EVT-2008-LEHMAN,9,Harvesters,18,Virgo/Pisces,Saturn–Uranus Opposition,Opposition across 18° Virgo–Pisces (Wave 9 anchor).
WAV-2020-W6,EVT-2020-WHO-PANDEMIC,6,Bridge Builders,22,Capricorn,Saturn–Pluto Conjunction,Exact conjunction at 22° Capricorn (Wave 6 anchor).
WAV-1914-W10-1,EVT-1914-WW1-BEGIN,10,Genesis Mirrors,11,Leo,,anchor approx
WAV-1929-W9-1,EVT-1929-BLACK-THURSDAY,9,Harvesters,18,Cancer,,anchor approx
WAV-1969-W7-1,EVT-1969-APOLLO-11,7,Heart Weavers,14,Leo,,anchor approx
WAV-1971-W6-1,EVT-1971-BRETTON-WOODS-END,6,Bridge Builders,12,Virgo,,anchor approx
WAV-1991-W10-1,EVT-1991-USSR-DISSOLUTION,10,Genesis Mirrors,1,Capricorn,,anchor approx
WAV-2001-W5-1,EVT-2001-911,5,Edge Dancers,19,Gemini,,anchor approx
WAV-2011-W8-1,EVT-2011-TOHOKU,8,Crystal Initiates,16,Pisces,,anchor approx
WAV-2016-W4-1,EVT-2016-BREXIT-REFERENDUM,4,Mystic Arc,7,Libra,,anchor approx
